Test Case #1:
Weldon Albin
Alphonse Albin
Adrian Embry
Reuben Embry
Vincent Embry
Lionel Gouin
Arnoldo Oscar
Norberto Oscar
Eusebio Bartol
Ashley Farkas
Patricia Fricke
Aubrey Labrum
Irving Labrum
Tracy Pascua
Reuben Sexton
Blake Cordoba
Rico Desilva
Leo Haefner
Rico Haefner
Daniel Haefner
Marlon Logston
Reuben Noblitt
Norberto Praylow
Cornelius Sattler
Nick Stookey
Raphael Dilworth
Jospeh Elizondo
Sherman Heavener
Joan Whitwell
Marlon Whitwell
Cornelius Whitwell
Luis Benedetto
Tracy Underdown
Leo Klingensmith
Daniel Klingensmith
Erick Weisenberger
Sherman Bien
Gus Seth
Jerrold Embry
Leo Gouin
Rico Gouin
Weldon Houde
Reuben Oscar
Arnoldo Oscar
Erick Farkas
Nick Fricke
Erick Kellog
Gus Labrum
Reuben Markel
Vernon Markel
Weldon Markel
Henry Pascua
Ashley Stroup
Alphonse Cordoba
Francesco Cordoba
Leo Groover
Ashley Haefner
Eusebio Haefner
Sherman Haefner
Ashley Logston
Weldon Praylow
Patricia Praylow
Erick Sattler
Jerrold Sattler
Arnoldo Elizondo
Reuben Heavener
Sherman Weisenberger
Eusebio Goe
Rico Bien
Cornelius Bien
Rico Seth
Francesco Seth
Daniel Albin
Marlon Embry
Marc Gouin
Rico Gouin
Eusebio Houde
Rico Oscar
Raphael Oscar
Luis Kellog
Art Markel
Daniel Markel
Vernon Markel
Norberto Markel
Joan Pascua
Nick Pascua
Rico Sexton
Art Cordoba
Rico Kinslow
Irving Kinslow
Lionel Kinslow
Sherman Noblitt
Nick Praylow
Art Sattler
Sherman Stookey
Luis Wolters
Jospeh Wolters
Francesco Wolters
Chase Elizondo
Lionel Elizondo
Adrian Benedetto
Tracy Underdown
Adrian Underdown
Cornelius Underdown
Patricia Weisenberger
Ashley Bien
Norberto Bien
Gus Seth
Chase Seth
Daniel Embry
Lionel Gouin
Jeromy Houde
Weldon Farkas
Erick Kellog
Aubrey Labrum
Sherman Sexton
Cornelius Sexton
Leo Praylow
Alphonse Wolters
Gus Elizondo
Francesco Whitwell
Cornelius Klingensmith
Luis Goe
Raphael Goe
Alphonse Amar
Adrian Heim
Tracy Embry
Daniel Oscar
Joan Tames
Sherman Kellog
Arnoldo Mainer
Raphael Sexton
Norberto Stroup
Vernon Kinslow
Leo Noblitt
Rico Noblitt
Irving Dilworth
Leo Heavener
Elroy Benedetto
Marlon Underdown
Rico Weisenberger
Gus Seth
Adrian Embry
Cornelius Oscar
Luis Tames
Rico Bartol
Weldon Bartol
Gus Sexton
Lionel Sexton
Arnoldo Sexton
Henry Desilva
Vernon Desilva
Weldon Haefner
Francesco Logston
Rico Stookey
Reuben Stookey
Vernon Wolters
Vincent Dilworth
Gus Heavener
Alphonse Underdown
Vincent Klingensmith
Gus Weisenberger
Rico Amar
Daniel Heim
Marc Seth
Leo Embry
Tanner Embry
Jeromy Tames
Leo Farkas
Leo Fricke
Marlon Kellog
Tanner Sexton
Miquel Desilva
Gus Groover
Erick Groover
Jospeh Logston
Cornelius Sattler
Marlon Dilworth
Ashley Underdown
Weldon Klingensmith
Eusebio Klingensmith
Daniel Mainer
Francesco Mainer
Leo Cordoba
Gus Haefner
Sherman Logston
Blake Noblitt
Luis Praylow
Tracy Praylow
Marlon Sattler
Henry Dilworth
Lionel Dilworth
Adrian Whitwell
Miquel Seth
Luis Bartol
Gus Farkas
Aubrey Farkas
Chase Fricke
Tanner Pascua
Chase Praylow
Francesco Dilworth
Joan Klingensmith
Jeromy Weisenberger
Vincent Weisenberger
Irving Seth
Aubrey Houde
Norberto Farkas
Blake Mainer
Jerrold Markel
Norberto Markel
Daniel Desilva
Weldon Elizondo
Jerrold Whitwell
Tanner Heim
Jeromy Gouin
Irving Oscar
Reuben Tames
Art Kellog
Weldon Kellog
Henry Labrum
Irving Mainer
Marlon Markel
Aubrey Pascua
Aubrey Haefner
Joan Kinslow
Jeromy Sattler
Jeromy Stookey
Rico Heavener
Joan Klingensmith
Henry Amar
Luis Albin
Joan Bartol
Weldon Bartol
Jeromy Mainer
Marc Sexton
Francesco Bien
Arnoldo Gouin
Sherman Houde
Alphonse Oscar
Nick Tames
Weldon Fricke
Chase Mainer
Marc Pascua
Nick Sattler
Raphael Dilworth
Ashley Elizondo
Vernon Benedetto
Marc Klingensmith
Tracy Goe
Norberto Bien
Vernon Tames
Sherman Fricke
Lionel Kellog
Reuben Sexton
Patricia Wolters
Reuben Dilworth
Jeromy Benedetto
Sherman Benedetto
Sherman Weisenberger
Ashley Mainer
Norberto Sexton
Jeromy Cordoba
Art Stookey
Elroy Amar
Cornelius Pascua
Marc Dilworth
Jerrold Bien
Art Farkas
Gus Fricke
Marc Sattler
Cornelius Whitwell
Elroy Mainer
Arnoldo Groover
Irving Kinslow
Marlon Dilworth
Eusebio Fricke
Alphonse Kinslow
Vincent Logston
Weldon Stookey
Tracy Kellog
Irving Underdown
Art Weisenberger
Ashley Albin
Alphonse Benedetto
Tracy Goe
Vernon Tames
Elroy Gouin
Tanner Bartol
Reuben Haefner
Miquel Underdown
